TemperatureC,Dew PointC
26.9375,24.625
26.625,24.5
26.73076923076923,25.0
26.357142857142858,24.642857142857142
26.3125,24.625
26.0,24.576923076923077
26.0625,24.5
27.142857142857142,25.357142857142858
28.666666666666668,25.333333333333332
28.866666666666667,24.866666666666667
29.5,24.857142857142858
30.0,25.434782608695652
30.6,25.0
30.933333333333334,25.066666666666666
30.6,25.48
30.0,24.9375
30.6875,25.125
29.76,25.0
28.8,25.0
28.5,24.928571428571427
28.0,24.75
27.6,24.733333333333334
27.6,24.733333333333334
27.347826086956523,24.869565217391305
