TemperatureC,Dew PointC,Humidity
27.38888888888889,24.833333333333332,86.33333333333333
27.058823529411764,24.823529411764707,87.88235294117646
27.06896551724138,24.96551724137931,87.75862068965517
26.705882352941178,24.823529411764707,89.6470588235294
26.705882352941178,25.11764705882353,91.29411764705883
26.733333333333334,25.333333333333332,91.33333333333333
26.647058823529413,25.41176470588235,93.05882352941177
27.875,25.5625,87.625
29.310344827586206,25.586206896551722,78.62068965517241
30.0,25.105263157894736,75.47368421052632
30.470588235294116,25.058823529411764,73.41176470588235
31.096774193548388,25.06451612903226,68.2258064516129
31.055555555555557,24.555555555555557,69.05555555555556
31.42105263157895,25.31578947368421,71.15789473684211
31.275862068965516,24.933333333333334,68.34482758620689
31.05263157894737,24.68421052631579,70.05263157894737
30.294117647058822,24.647058823529413,72.82352941176471
30.0,25.0,72.60714285714286
29.41176470588235,24.823529411764707,76.70588235294117
28.88235294117647,24.88235294117647,79.52941176470588
28.6,25.033333333333335,80.0
28.0,24.833333333333332,83.61111111111111
27.666666666666668,25.333333333333332,87.5
27.677419354838708,25.35483870967742,86.29032258064517
