TemperatureC,Dew PointC,Humidity,Conditions
26.5,24.22222222222222,87.77777777777777,4.0
26.473684210526315,24.36842105263158,88.52631578947368,5.0
26.178571428571427,24.678571428571427,90.53571428571429,4.0
25.941176470588236,24.58823529411765,92.41176470588235,5.0
25.764705882352942,24.444444444444443,92.58823529411765,5.0
25.689655172413794,24.413793103448278,92.20689655172414,4.0
25.72222222222222,24.38888888888889,92.55555555555556,6.0
26.68421052631579,24.68421052631579,89.15789473684211,5.0
27.870967741935484,24.741935483870968,82.64516129032258,3.0
28.789473684210527,24.842105263157894,79.89473684210526,5.0
29.210526315789473,25.105263157894736,79.26315789473684,5.0
29.115384615384617,25.03846153846154,78.07692307692308,5.0
29.833333333333332,24.833333333333332,75.38888888888889,6.0
29.526315789473685,24.63157894736842,76.0,5.0
29.29032258064516,24.806451612903224,75.25806451612904,4.0
29.42105263157895,24.57894736842105,76.3157894736842,5.0
29.31578947368421,24.36842105263158,75.42105263157895,5.0
28.714285714285715,24.428571428571427,76.32142857142857,4.0
28.444444444444443,24.166666666666668,78.22222222222223,6.0
27.842105263157894,24.31578947368421,81.84210526315789,6.0
27.7,24.533333333333335,82.33333333333333,4.0
27.27777777777778,24.38888888888889,84.83333333333333,5.0
26.88888888888889,24.555555555555557,87.61111111111111,5.0
26.612903225806452,24.548387096774192,87.83870967741936,4.0
